over_num,balls_left_in_over,overs_left,wickets_left,score,striker_sr,non_striker_sr,best_bowler
18,0,1,3,149,250.0,200.0,DJ Bravo
19,0,0,2,156,125.0,100.0,KMDN Kulasekara
0,0,19,10,2,20.0,100.0,P Kumar
1,0,18,10,8,100.0,0.0,BA Bhatt
2,0,17,10,20,233.33333333333334,166.66666666666669,P Kumar
3,0,16,10,31,100.0,200.0,Bipul Sharma
4,0,15,10,45,250.0,225.0,P Awana
5,0,14,9,48,66.66666666666666,0.0,Azhar Mahmood
6,0,13,9,57,66.66666666666666,233.33333333333334,PP Chawla
7,0,12,8,63,150.0,0.0,Azhar Mahmood
8,0,11,8,66,100.0,25.0,PP Chawla
9,0,10,8,69,50.0,50.0,P Awana
10,0,9,7,73,100.0,50.0,PP Chawla
11,-1,8,7,83,100.0,140.0,P Awana
12,0,7,6,88,33.33333333333333,100.0,DJ Hussey
13,0,6,5,95,0.0,300.0,BA Bhatt
14,-1,5,4,99,20.0,100.0,PP Chawla
15,0,4,4,107,100.0,150.0,Azhar Mahmood
16,-1,3,4,118,160.0,100.0,P Kumar
17,0,2,4,125,100.0,133.33333333333331,P Awana
18,0,1,3,140,100.0,250.0,P Kumar
19,0,0,2,149,0.0,50.0,Azhar Mahmood
0,-2,19,9,12,133.33333333333331,0.0,S Sreesanth
1,-1,18,9,20,50.0,120.0,IK Pathan
2,-1,17,8,22,0.0,0.0,S Sreesanth
3,-1,16,8,27,60.0,50.0,IK Pathan
4,0,15,8,38,100.0,200.0,S Sreesanth
5,-2,14,8,53,200.0,140.0,VRV Singh
6,-1,13,7,64,180.0,50.0,PP Chawla
7,0,12,7,68,75.0,50.0,VRV Singh
8,0,11,7,78,66.66666666666666,266.66666666666663,PP Chawla
9,0,10,7,85,25.0,250.0,JR Hopes
10,0,9,7,100,300.0,0.0,PP Chawla
11,-1,8,7,109,50.0,140.0,JR Hopes
12,-1,7,7,124,216.66666666666666,100.0,IK Pathan
13,0,6,7,132,150.0,100.0,Yuvraj Singh
14,0,5,7,144,275.0,50.0,VRV Singh
15,0,4,7,149,75.0,100.0,S Sreesanth
16,0,3,7,154,133.33333333333331,33.33333333333333,JR Hopes
17,0,2,6,159,33.33333333333333,0.0,VRV Singh
18,-1,1,6,176,233.33333333333334,100.0,JR Hopes
19,0,0,6,181,100.0,66.66666666666666,IK Pathan
0,0,19,10,12,33.33333333333333,366.66666666666663,MS Gony
1,0,18,9,16,75.0,50.0,JA Morkel
2,0,17,9,21,166.66666666666669,0.0,MS Gony
3,0,16,9,29,140.0,100.0,JA Morkel
4,0,15,8,31,0.0,100.0,MS Gony
5,0,14,8,35,66.66666666666666,66.66666666666666,JA Morkel
6,0,13,8,45,200.0,133.33333333333331,P Amarnath
7,0,12,8,53,150.0,100.0,CK Kapugedera
8,0,11,8,68,250.0,0.0,P Amarnath
9,-1,10,8,76,66.66666666666666,125.0,M Muralitharan
